yourlist:M20210331A94466D2655679D1FD8953E075198DA81B51CCG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Organism ID	Signal peptide	Proteomes	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUBKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)
Q9GZZ8	Q9GZZ8	LACRT_HUMAN	reviewed	Extracellular glycoprotein lacritin	LACRT	Homo sapiens (Human)	138	9606	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:25946035"	UP000005640: Chromosome 12	Metazoa		Chordata	Homo sapiens (Human)
P23631	P23631	LATA_LATTR	reviewed	Alpha-latrotoxin-Lt1a (Alpha-LTX-Lt1a) (Alpha-latrotoxin) (Alpha-LTX)		Latrodectus tredecimguttatus (Mediterranean black widow spider) (Latrodectus mactans tredecimguttatus)	1401	6925	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:9792186"		Metazoa		Arthropoda	Latrodectus tredecimguttatus (Mediterranean black widow spider) (Latrodectus mactans tredecimguttatus)
Q8WPD0	Q8WPD0	LECG_PATPE	reviewed	Alpha-N-acetylgalactosamine-specific lectin (Alpha-N-acetylgalactosamine-binding lectin) (GalNAc-specific lectin) (Lectin) (ApL) (Tn antigen-specific lectin)		Patiria pectinifera (Starfish) (Asterina pectinifera)	168	7594	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:11886841"		Metazoa		Echinodermata	Patiria pectinifera (Starfish) (Asterina pectinifera)
Q61001	Q61001	LAMA5_MOUSE	reviewed	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	Lama5	Mus musculus (Mouse)	3718	10090	SIGNAL 1..40;  /evidence="ECO:0000269|PubMed:11829758"	UP000000589: Chromosome 2	Metazoa		Chordata	Mus musculus (Mouse)
P32004	P32004	L1CAM_HUMAN	reviewed	Neural cell adhesion molecule L1 (N-CAM-L1) (NCAM-L1) (CD antigen CD171)	L1CAM CAML1 MIC5	Homo sapiens (Human)	1257	9606	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:3136168"	UP000005640: Chromosome X	Metazoa		Chordata	Homo sapiens (Human)
Q55P57	Q55P57	LAC1_CRYNB	reviewed	Laccase-1 (EC 1.10.3.2) (Diphenol oxidase 1)	LAC1 CNBG3550	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans)	624	283643	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:8300520"	UP000001435: Chromosome 7, UP000001435: Unassembled WGS sequence	Fungi	Dikarya	Basidiomycota	Cryptococcus neoformans (Filobasidiella neoformans)
Q2ULM2	Q2ULM2	LAP2_ASPOR	reviewed	probable leucine aminopeptidase 2 (EC 3.4.11.-) (Aminopeptidase II) (Leucyl aminopeptidase 2) (LAP2)	lap2 AO090003000354	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	496	510516	SIGNAL 1..16;  /evidence="ECO:0000269|PubMed:10899618"	UP000006564: Chromosome 2	Fungi	Dikarya	Ascomycota	Aspergillus oryzae (Yellow koji mold)
P13612	P13612	ITA4_HUMAN	reviewed	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	ITGA4 CD49D	Homo sapiens (Human)	1032	9606	SIGNAL 1..33;  /evidence="ECO:0000269|PubMed:3033641"	UP000005640: Chromosome 2	Metazoa		Chordata	Homo sapiens (Human)
P08648	P08648	ITA5_HUMAN	reviewed	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	ITGA5 FNRA	Homo sapiens (Human)	1049	9606	SIGNAL 1..41;  /evidence="ECO:0000269|PubMed:3033641"	UP000005640: Chromosome 12	Metazoa		Chordata	Homo sapiens (Human)
P24063	P24063	ITAL_MOUSE	reviewed	Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (Lymphocyte antigen 15) (Ly-15) (CD antigen CD11a)	Itgal Lfa-1 Ly-15	Mus musculus (Mouse)	1163	10090	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:3887182"	UP000000589: Chromosome 7	Metazoa		Chordata	Mus musculus (Mouse)
P16144	P16144	ITB4_HUMAN	reviewed	Integrin beta-4 (GP150) (CD antigen CD104)	ITGB4	Homo sapiens (Human)	1822	9606	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:2542022"	UP000005640: Chromosome 17	Metazoa		Chordata	Homo sapiens (Human)
P26006	P26006	ITA3_HUMAN	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051	9606	SIGNAL 1..32;  /evidence="ECO:0000269|PubMed:10455171, ECO:0000269|PubMed:3033641, ECO:0000269|PubMed:8187758"	UP000005640: Chromosome 17	Metazoa		Chordata	Homo sapiens (Human)
P08514	P08514	ITA2B_HUMAN	reviewed	Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]	ITGA2B GP2B ITGAB	Homo sapiens (Human)	1039	9606	SIGNAL 1..31;  /evidence="ECO:0000269|PubMed:1953640, ECO:0000269|PubMed:3534886, ECO:0000269|PubMed:8620874"	UP000005640: Chromosome 17	Metazoa		Chordata	Homo sapiens (Human)
P38570	P38570	ITAE_HUMAN	reviewed	Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain]	ITGAE	Homo sapiens (Human)	1179	9606	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:8119947"	UP000005640: Chromosome 17	Metazoa		Chordata	Homo sapiens (Human)
P11215	P11215	ITAM_HUMAN	reviewed	Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b)	ITGAM CD11B CR3A	Homo sapiens (Human)	1152	9606	SIGNAL 1..16;  /evidence="ECO:0000269|PubMed:3539202"	UP000005640: Chromosome 16	Metazoa		Chordata	Homo sapiens (Human)
P17301	P17301	ITA2_HUMAN	reviewed	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	ITGA2 CD49B	Homo sapiens (Human)	1181	9606	SIGNAL 1..29;  /evidence="ECO:0000269|PubMed:2545729"	UP000005640: Chromosome 5	Metazoa		Chordata	Homo sapiens (Human)
C0HJQ4	C0HJQ4	KAX3I_MESEU	reviewed	Potassium channel toxin alpha-KTx 3.18 (Toxin MeKTx13-2)		Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	61	34648	SIGNAL 1..23;  /evidence="ECO:0000269|PubMed:25792741"		Metazoa		Arthropoda	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)
Q00870	Q00870	KHS_FUSSH	reviewed	Kievitone hydratase (KHase) (EC 4.2.1.95)	khs	Fusarium solani subsp. phaseoli (Nectria haematococca)	350	120645	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:1366757"		Fungi	Dikarya	Ascomycota	Fusarium solani subsp. phaseoli (Nectria haematococca)
P19137	P19137	LAMA1_MOUSE	reviewed	Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha)	Lama1 Lama Lama-1	Mus musculus (Mouse)	3083	10090	SIGNAL 1..24;  /evidence="ECO:0000269|PubMed:11829758"	UP000000589: Chromosome 17	Metazoa		Chordata	Mus musculus (Mouse)
C0HJQ5	C0HJQ5	KAX87_MESEU	reviewed	Potassium channel toxin alpha-KTx 8.7 (Toxin MeKTx1-2)		Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	57	34648	SIGNAL 1..28;  /evidence="ECO:0000269|PubMed:25792741"		Metazoa		Arthropoda	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)
C7G3K3	C7G3K3	KBX2_LIOAU	reviewed	Beta-KTx-like peptide LaIT2		Liocheles australasiae (Dwarf wood scorpion)	80	431266	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:19966481"		Metazoa		Arthropoda	Liocheles australasiae (Dwarf wood scorpion)
P86929	P86929	LMBPG_METGU	reviewed	Antimicrobial peptide lumbricin-PG (Lumbricin-PG)		Metaphire guillelmi (Earthworm) (Pheretima guillelmi)	73	437222	SIGNAL 1..14;  /evidence="ECO:0000269|PubMed:21539875"		Metazoa		Annelida	Metaphire guillelmi (Earthworm) (Pheretima guillelmi)
Q14392	Q14392	LRC32_HUMAN	reviewed	Transforming growth factor beta activator LRRC32 (Garpin) (Glycoprotein A repetitions predominant) (GARP) (Leucine-rich repeat-containing protein 32)	LRRC32 D11S833E	Homo sapiens (Human)	662	9606	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:21615933"	UP000005640: Chromosome 11	Metazoa		Chordata	Homo sapiens (Human)
P01705	P01705	LV223_HUMAN	reviewed	Immunoglobulin lambda variable 2-23 (Ig lambda chain V-II region NEI)	IGLV2-23	Homo sapiens (Human)	113	9606	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:5043326"	UP000005640: Chromosome 22	Metazoa		Chordata	Homo sapiens (Human)
C5P3X6	C5P3X6	MEP1_COCP7	reviewed	Extracellular metalloprotease 1 (EC 3.4.24.-)	MEP1 CPC735_062670	Coccidioides posadasii (strain C735) (Valley fever fungus)	276	222929	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:16177346"	UP000009084: Unassembled WGS sequence	Fungi	Dikarya	Ascomycota	Coccidioides posadasii (Valley fever fungus)
Q8C1Q4	Q8C1Q4	METRN_MOUSE	reviewed	Meteorin (Hypoxia/reoxygenation regulatory factor)	Metrn Hyrac	Mus musculus (Mouse)	291	10090	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:19259827"	UP000000589: Chromosome 17	Metazoa		Chordata	Mus musculus (Mouse)
B0FHH8	B0FHH8	ML1P_MANSE	reviewed	MD-2-related lipid-recognition protein (MsML-1)		Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)	151	7130	SIGNAL 1..18;  /evidence="ECO:0000269|PubMed:18343500"		Metazoa		Arthropoda	Manduca sexta (Tobacco hawkmoth) (Tobacco hornworm)
Q8X150	Q8X150	MNLOX_GAETR	reviewed	Manganese lipoxygenase (Mn-LO) (MnLOX) (EC 1.13.11.-) (EC 1.13.11.45) (Linoleate 11S-lipoxygenase) (Linoleate 13R-lipoxygenase) (Manganese 13R-lipoxygenase) (13R-MnLOX)		Gaeumannomyces tritici (Wheat and barley take-all root rot fungus) (Gaeumannomyces graminis var. tritici)	618	36779	SIGNAL 1..16;  /evidence="ECO:0000269|Ref.2"		Fungi	Dikarya	Ascomycota	Gaeumannomyces tritici (Wheat and barley take-all root rot fungus) (Gaeumannomyces graminis var. tritici)
P45452	P45452	MMP13_HUMAN	reviewed	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	MMP13	Homo sapiens (Human)	471	9606	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:8576151"	UP000005640: Chromosome 11	Metazoa		Chordata	Homo sapiens (Human)
Q59XX2	Q59XX2	MP65_CANAL	reviewed	Cell surface mannoprotein MP65 (EC 3.2.1.-) (Mannoprotein of 65 kDa) (Soluble cell wall protein 10)	MP65 CMP65 SCW1 SCW10 CAALFM_C210030CA CaO19.1779 CaO19.9345	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	378	237561	SIGNAL 1..32;  /evidence="ECO:0000269|PubMed:8698482"	UP000000559: Chromosome 2	Fungi	Dikarya	Ascomycota	Candida albicans (Yeast)
P86872	P86872	MRNP_PINMG	reviewed	Methionine-rich nacre protein (MRNP) (Methionine-rich nacre protein 34) (Pmarg-MRNP34)		Margaritifera margaritifera (Freshwater pearl mussel)	260	102329	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:21590302"		Metazoa		Mollusca	Margaritifera margaritifera (Freshwater pearl mussel)
P28665	P28665	MUG1_MOUSE	reviewed	Murinoglobulin-1 (MuG1)	Mug1 Mug-1	Mus musculus (Mouse)	1476	10090	SIGNAL 1..27;  /evidence="ECO:0000269|PubMed:1840592"	UP000000589: Chromosome 6	Metazoa		Chordata	Mus musculus (Mouse)
Q9UK23	Q9UK23	NAGPA_HUMAN	reviewed	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase (EC 3.1.4.45) (Mannose 6-phosphate-uncovering enzyme) (Phosphodiester alpha-GlcNAcase)	NAGPA	Homo sapiens (Human)	515	9606	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:12058031"	UP000005640: Chromosome 16	Metazoa		Chordata	Homo sapiens (Human)
P10493	P10493	NID1_MOUSE	reviewed	Nidogen-1 (NID-1) (Entactin)	Nid1 Ent	Mus musculus (Mouse)	1245	10090	SIGNAL 1..28;  /evidence="ECO:0000269|PubMed:3264556"	UP000000589: Chromosome 13	Metazoa		Chordata	Mus musculus (Mouse)
Q14112	Q14112	NID2_HUMAN	reviewed	Nidogen-2 (NID-2) (Osteonidogen)	NID2	Homo sapiens (Human)	1375	9606	SIGNAL 1..30;  /evidence="ECO:0000269|PubMed:9733643"	UP000005640: Chromosome 14	Metazoa		Chordata	Homo sapiens (Human)
P86407	P86407	NDB2_MESEU	reviewed	Meucin-49 (Venom antimicrobial peptide) (VAMP-1)		Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	75	34648	SIGNAL 1..22;  /evidence="ECO:0000269|Ref.2"		Metazoa		Arthropoda	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)
Q6ASY2	Q6ASY2	NLTL1_ORYSJ	reviewed	Non-specific lipid transfer protein-like 1 (OsLTPL1)	LTPL1 Os03g0385400 LOC_Os03g26820 B1246D11.7	Oryza sativa subsp. japonica (Rice)	178	39947	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:15653800"	UP000000763: Chromosome 3, UP000059680: Chromosome 3	Viridiplantae		Streptophyta	Oryza sativa (Rice)
A0A161AT60	A0A161AT60	NLTP1_PEA	reviewed	Non-specific lipid-transfer protein 1 (PsLTP1) (allergen Pis s 3)		Pisum sativum (Garden pea)	120	3888	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:27137920"		Viridiplantae		Streptophyta	Pisum sativum (Garden pea)
O42414	O42414	NFASC_CHICK	reviewed	Neurofascin	NFASC	Gallus gallus (Chicken)	1369	9031	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:1377696"	UP000000539: Unplaced	Metazoa		Chordata	Gallus gallus (Chicken)
Q3L1D1	Q3L1D1	PDH1_AGABI	reviewed	Pyranose dehydrogenase (PDH) (EC 1.1.99.29) (Glucose dehydrogenase) (GDH) (Pyranose 2-dehydrogenase) (Pyranose:quinone oxidoreductase)	pdh1	Agaricus bisporus (White button mushroom)	594	5341	SIGNAL 1..25;  /evidence="ECO:0000269|Ref.2"		Fungi	Dikarya	Basidiomycota	Agaricus bisporus (White button mushroom)
P07897	P07897	PGCA_RAT	reviewed	Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP)	Acan Agc Agc1	Rattus norvegicus (Rat)	2124	10116	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:3693371"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
P25116	P25116	PAR1_HUMAN	reviewed	Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor)	F2R CF2R PAR1 TR	Homo sapiens (Human)	425	9606	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:22659187"	UP000005640: Chromosome 5	Metazoa		Chordata	Homo sapiens (Human)
Q63415	Q63415	PCSK6_RAT	reviewed	Proprotein convertase subtilisin/kexin type 6 (EC 3.4.21.-) (Paired basic amino acid cleaving enzyme 4) (Subtilisin-like proprotein convertase 4) (SPC4) (Subtilisin/kexin-like protease PACE4)	Pcsk6 Pace4	Rattus norvegicus (Rat)	937	10116	SIGNAL 1..45;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Unplaced	Metazoa		Chordata	Rattus norvegicus (Rat)
P09619	P09619	PGFRB_HUMAN	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106	9606	SIGNAL 1..32;  /evidence="ECO:0000269|PubMed:15340161"	UP000005640: Chromosome 5	Metazoa		Chordata	Homo sapiens (Human)
Q8W257	Q8W257	PFI_PTIFI	reviewed	Polyenoic fatty acid isomerase (PFI) (EC 5.3.3.13)		Ptilota filicina (Red alga)	500	153248	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:12054482"				Rhodophyta	Ptilota filicina (Red alga)
P47853	P47853	PGS1_RAT	reviewed	Biglycan (Bone/cartilage proteoglycan I) (PG-S1)	Bgn	Rattus norvegicus (Rat)	369	10116	SIGNAL 1..16;  /evidence="ECO:0000269|PubMed:26479776"	UP000002494: Chromosome X	Metazoa		Chordata	Rattus norvegicus (Rat)
Q9GL30	Q9GL30	PLBL1_BOVIN	reviewed	Phospholipase B-like 1 (EC 3.1.1.-) (LAMA-like protein 1) (Lamina ancestor homolog 1) (Phospholipase B domain-containing protein 1) [Cleaved into: Phospholipase B-like 1 chain A; Phospholipase B-like 1 chain B; Phospholipase B-like 1 chain C]	PLBD1	Bos taurus (Bovine)	545	9913	SIGNAL 1..35;  /evidence="ECO:0000269|PubMed:23934913"	UP000009136: Chromosome 5, UP000321980: Unassembled WGS sequence	Metazoa		Chordata	Bos taurus (Bovine)
P11654	P11654	PO210_RAT	reviewed	Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa)	Nup210 Gp210 Pom210	Rattus norvegicus (Rat)	1886	10116	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:2738089"	UP000002494: Chromosome 4	Metazoa		Chordata	Rattus norvegicus (Rat)
P49259	P49259	PLA2R_BOVIN	reviewed	Secretory phospholipase A2 receptor (PLA2-R) (PLA2R) (180 kDa secretory phospholipase A2 receptor) (M-type receptor) [Cleaved into: Soluble secretory phospholipase A2 receptor (Soluble PLA2-R) (Soluble PLA2R)]	PLA2R1	Bos taurus (Bovine)	1463	9913	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:7509792"	UP000009136: Chromosome 2	Metazoa		Chordata	Bos taurus (Bovine)
Q868Z9	Q868Z9	PPN_DROME	reviewed	Papilin	Ppn CG33103	Drosophila melanogaster (Fruit fly)	2898	7227	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:11076767"	UP000000803: Chromosome 3R	Metazoa		Arthropoda	Drosophila melanogaster (Fruit fly)
P0C8G6	P0C8G6	PV21_POMCA	reviewed	Perivitellin-2 67 kDa subunit (PcPV2 67 kDa subunit) (PcPV2-67) (PV2 MACPF subunit)		Pomacea canaliculata (Golden apple snail)	565	400727	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:11857466"		Metazoa		Mollusca	Pomacea canaliculata (Golden apple snail)
Q99969	Q99969	RARR2_HUMAN	reviewed	Retinoic acid receptor responder protein 2 (Chemerin) (RAR-responsive protein TIG2) (Tazarotene-induced gene 2 protein)	RARRES2 TIG2	Homo sapiens (Human)	163	9606	SIGNAL 1..20;  /evidence="ECO:0000269|PubMed:14675762"	UP000005640: Chromosome 7	Metazoa		Chordata	Homo sapiens (Human)
Q62703	Q62703	RCN2_RAT	reviewed	Reticulocalbin-2 (Calcium-binding protein ERC-55) (Taipoxin-associated calcium-binding protein 49) (TCBP-49)	Rcn2 Erc55	Rattus norvegicus (Rat)	320	10116	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:7722520"	UP000002494: Chromosome 8	Metazoa		Chordata	Rattus norvegicus (Rat)
Q7SZI7	Q7SZI7	RET3_XENLA	reviewed	Retinol-binding protein 3 (Interphotoreceptor retinoid-binding protein) (IRBP) (xIRBP) (Interstitial retinol-binding protein)	rbp3	Xenopus laevis (African clawed frog)	1219	8355	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:18079675"		Metazoa		Chordata	Xenopus laevis (African clawed frog)
Q8BPM6	Q8BPM6	RIC3_MOUSE	reviewed	Protein RIC-3 (Resistant to inhibitor of cholinesterase 3)	Ric3	Mus musculus (Mouse)	367	10090	SIGNAL 1..31;  /evidence="ECO:0000269|PubMed:19812337"	UP000000589: Chromosome 7	Metazoa		Chordata	Mus musculus (Mouse)
P60153	P60153	RNAS9_HUMAN	reviewed	Inactive ribonuclease-like protein 9	RNASE9	Homo sapiens (Human)	205	9606	SIGNAL 1..26;  /evidence="ECO:0000269|PubMed:19137000"	UP000005640: Chromosome 14	Metazoa		Chordata	Homo sapiens (Human)
A5HAK0	A5HAK0	RNSL3_DANRE	reviewed	Ribonuclease-like 3 (RNase ZF-3) (RNase-like 3) (ZF-RNase-3) (EC 3.1.27.-) (Dr-RNase 1) [Cleaved into: N-terminal peptide; LF-ZF3]	rnasel3	Danio rerio (Zebrafish) (Brachydanio rerio)	149	7955	SIGNAL 1..22;  /evidence="ECO:0000269|PubMed:18508078"	UP000000437: Unplaced	Metazoa		Chordata	Danio rerio (Zebrafish) (Brachydanio rerio)
G4V4F9	G4V4F9	SIBD1_CUPSA	reviewed	Single insulin-like growth factor-binding domain protein-1 (SIBD-1)		Cupiennius salei (American wandering spider)	97	6928	SIGNAL 1..19;  /evidence="ECO:0000269|PubMed:21888974"		Metazoa		Arthropoda	Cupiennius salei (American wandering spider)
Q8IUH8	Q8IUH8	SPP2C_HUMAN	reviewed	Signal peptide peptidase-like 2C (SPP-like 2C) (SPPL2c) (EC 3.4.23.-) (Intramembrane protease 5) (IMP-5)	SPPL2C IMP5	Homo sapiens (Human)	684	9606	SIGNAL 1..21;  /evidence="ECO:0000269|PubMed:15385547"	UP000005640: Chromosome 17	Metazoa		Chordata	Homo sapiens (Human)
D7UQ40	D7UQ40	SOL5_ALTSO	reviewed	Bifunctional solanapyrone synthase (EC 1.1.3.42) (EC 5.5.1.20) (FAD-dependent monooxygenase sol5) (Prosolanapyrone-II oxidase) (Prosolanapyrone-III cycloisomerase) (Solanapyrone biosynthesis protein 5)	sol5	Alternaria solani	515	48100	SIGNAL 1..25;  /evidence="ECO:0000269|PubMed:18256508"		Fungi	Dikarya	Ascomycota	Alternaria solani
